Category,Province,Values in 2022 (100 million yuan),Values in 2021 (100 million yuan),Values in 2020 (100 million yuan),Values in 2019 (100 million yuan),Values in 2018 (100 million yuan),Values in 2017 (100 million yuan),Values in 2016 (100 million yuan),Values in 2015 (100 million yuan),Values in 2014 (100 million yuan),Values in 2013 (100 million yuan),Values in 2012 (100 million yuan),Values in 2011 (100 million yuan),Values in 2010 (100 million yuan),Values in 2009 (100 million yuan),Values in 2008 (100 million yuan),Values in 2007 (100 million yuan),Values in 2006 (100 million yuan),Values in 2005 (100 million yuan),Values in 2004 (100 million yuan),Values in 2003 (100 million yuan),Values in 2002 (100 million yuan),Values in 2001 (100 million yuan),Values in 2000 (100 million yuan),Values in 1999 (100 million yuan),Values in 1998 (100 million yuan),Values in 1997 (100 million yuan)
optional,Liaoning,2229.10 ,2191.30 ,2002.83 ,2164.38 ,1864.38 ,3002.13 ,2822.87 ,2968.98 ,2653.65 ,2414.31 ,2191.19 ,1960.33 ,1651.66 ,1410.33 ,1239.86 ,1062.34 ,952.66 ,850.33 ,896.00 ,803.21 ,760.26 ,696.51 ,631.64 ,575.78 ,533.15 ,438.31 
optional,Jilin,785.50 ,817.80 ,733.49 ,759.11 ,744.11 ,1208.30 ,1203.14 ,1117.29 ,1059.66 ,1080.58 ,986.46 ,860.47 ,753.37 ,673.12 ,591.41 ,485.96 ,402.37 ,345.02 ,368.30 ,327.67 ,287.78 ,267.37 ,153.74 ,139.13 ,130.80 ,129.92 
optional,Heilongjiang,1294.30 ,1299.00 ,984.03 ,1005.33 ,805.33 ,1857.41 ,1795.83 ,1689.24 ,1585.00 ,1458.12 ,1339.05 ,1060.26 ,880.83 ,757.36 ,632.59 ,530.02 ,460.90 ,413.16 ,479.70 ,424.51 ,385.57 ,350.20 ,320.00 ,255.70 ,246.57 ,231.12 
optional,Shanghai,5068.50 ,5554.00 ,4869.89 ,5023.23 ,4523.23 ,4393.36 ,4119.59 ,3824.22 ,3647.33 ,3533.10 ,3291.93 ,3040.99 ,2594.34 ,2183.85 ,1266.37 ,1077.76 ,929.16 ,840.89 ,706.65 ,649.11 ,602.29 ,550.35 ,485.30 ,445.77 ,412.04 ,380.78 
optional,Jiangsu,13350.70 ,13163.40 ,11108.67 ,10901.27 ,8901.27 ,8070.23 ,7470.27 ,6992.68 ,6559.03 ,6273.46 ,5704.66 ,5341.39 ,4447.50 ,3579.81 ,3026.27 ,2432.88 ,2028.80 ,1816.46 ,1404.70 ,1204.61 ,1066.77 ,955.07 ,857.57 ,782.38 ,724.85 ,683.86 
optional,Zhejiang,9404.20 ,8768.30 ,7502.42 ,7470.08 ,7020.08 ,6217.29 ,5754.19 ,5245.03 ,4911.71 ,4111.44 ,3684.34 ,3288.53 ,2646.14 ,2119.39 ,2027.59 ,1711.20 ,1435.97 ,1258.21 ,1335.40 ,1159.25 ,1035.26 ,908.83 ,827.78 ,712.42 ,665.80 ,617.69 
optional,Anhui,4240.80 ,4073.90 ,3516.69 ,3429.23 ,3219.23 ,1910.47 ,1775.87 ,1640.93 ,1500.28 ,1355.54 ,1223.97 ,1050.61 ,887.66 ,733.19 ,634.14 ,525.71 ,449.63 ,397.70 ,457.80 ,405.49 ,364.35 ,340.80 ,315.00 ,283.55 ,258.60 ,216.66 
optional,Fujian,6230.40 ,5552.50 ,4667.60 ,4242.89 ,4242.89 ,2392.78 ,2204.60 ,2046.29 ,1961.18 ,1789.88 ,1670.26 ,1511.29 ,1310.94 ,1043.42 ,950.65 ,809.15 ,667.79 ,584.63 ,559.35 ,492.59 ,444.20 ,411.51 ,384.17 ,353.48 ,332.59 ,299.87 
optional,Jiangxi,2844.50 ,2536.70 ,2176.24 ,2103.31 ,2103.31 ,1415.12 ,1264.66 ,1186.72 ,1113.95 ,1035.04 ,935.94 ,831.97 ,666.89 ,553.89 ,438.59 ,362.72 ,326.58 ,288.52 ,274.17 ,243.06 ,214.19 ,192.06 ,181.96 ,161.63 ,143.54 ,124.66 
optional,Shandong,11819.10 ,11550.00 ,9751.16 ,9744.83 ,9744.83 ,9283.73 ,9044.95 ,8416.13 ,7826.46 ,7523.79 ,6507.40 ,5400.19 ,4257.40 ,3106.24 ,2363.93 ,1958.24 ,1611.66 ,1387.22 ,1283.28 ,1161.55 ,1047.83 ,891.34 ,785.68 ,720.56 ,665.33 ,599.06 
optional,Henan,4496.50 ,4468.00 ,4106.25 ,4010.80 ,3210.80 ,3263.06 ,2987.25 ,2609.46 ,2278.45 ,2072.59 ,1877.82 ,1586.09 ,1293.50 ,1057.81 ,902.30 ,765.76 ,682.40 ,616.25 ,668.02 ,578.37 ,466.38 ,422.14 ,380.66 ,339.08 ,316.81 ,285.98 
optional,Hubei,3593.40 ,3434.70 ,2824.00 ,3347.05 ,3107.05 ,2682.21 ,2485.05 ,2332.27 ,2143.21 ,1903.62 ,1687.52 ,1512.89 ,1291.68 ,979.14 ,899.58 ,749.81 ,649.37 ,575.37 ,622.19 ,558.52 ,510.53 ,473.35 ,442.82 ,403.66 ,373.04 ,349.58 
optional,Hunan,4787.10 ,4563.00 ,4054.43 ,4022.92 ,3756.77 ,2666.71 ,2487.80 ,2323.67 ,2211.82 ,2045.65 ,1849.04 ,1662.34 ,1434.68 ,1221.20 ,766.44 ,650.94 ,558.88 ,516.51 ,527.61 ,465.83 ,422.55 ,382.40 ,348.10 ,315.04 ,291.73 ,270.12 
optional,Guangdong,12319.70 ,12105.50 ,10634.94 ,11153.04 ,10886.89 ,8976.59 ,8382.48 ,7625.98 ,7778.82 ,7039.20 ,6333.62 ,5681.17 ,4647.76 ,3907.43 ,3306.97 ,2805.16 ,2542.45 ,2222.72 ,1378.72 ,1246.24 ,1140.86 ,1044.40 ,968.99 ,866.83 ,827.16 ,760.25 
